newIndex,A_adcl,B_adcl,C_adcl,D_adcl,E_adcl
CC11CM95SCRe4829071c20c4fe4b8c0fbca0ba62ee2,0.013787,0.146848,0.222472,0.258015,0.089245
CC11CM48SCRdf266d63ad1e4c61b11db0d1e8d39c40,0.033444,6e-06,8e-06,8e-06,0.105417
CC11CM70SCR0bc13552dc474998bbff7827f5d29654,0.063715,0.084254,0.127861,0.157395,0.24792
CC11CM42SCR54fcaa308bdd401a9f8f97fd0d57f87f,6e-06,0.312035,0.232018,0.201773,0.19269
CC11CM94SCR7716e7e90d424e3988a90a649d225f93,8e-06,0.0559,0.044166,0.26116300000000003,0.120501
CC11CM65SCR3950fbd43c5444db88e7766ee944f265,7.000000000000002e-06,6e-06,6e-06,0.301198,0.24753200000000006
CC11CM50SCR44feecd63e06493f88bee58e7d7c21b9,7.000000000000002e-06,7.000000000000002e-06,0.208227,0.250083,0.085048
CC11CM97SCR953c13dca84445979500747e09cc1041,5e-06,8e-06,0.039924,0.123248,0.03086
CC11CM72SCR1508ce3063b74ba7b9f741dc71b62786,9e-06,8e-06,0.06643500000000001,0.180515,0.254178
CC11CM82SCR4456eab632ab437a8a33e78b6e3cfc78,7.000000000000002e-06,8e-06,8e-06,0.06703300000000001,0.239988
CC11CM25SCR1bb6d054ca4c40189db5f262add1e73f,7.000000000000002e-06,9e-06,8e-06,0.144742,0.240312
CC11CM83SCR35afd1485c0746648c56c5e3f646b90a,0.027118,0.031974,0.115513,0.28927800000000004,0.083369
CC11CM88SCR3560878d3833498482ee84de905e509b,0.11444,0.154961,0.133695,0.246127,0.27878600000000003
CC11CM3SCRe3fde22c29354720ad248d677f9e367d,0.058741,0.071314,0.142438,0.223335,0.150418
CC11CM66SCR6a2ce9be8f164c02a1c379d976109cab,7.000000000000002e-06,0.209293,0.423586,0.249686,0.154305
CC11CM74SCR4ce53690201c4638b5b8efbe6f22d57a,6e-06,7.000000000000002e-06,0.01296,0.15791,0.19127
CC11CM17SCRbda16e6cefdb49d1a137eef6412448b0,5e-06,9e-06,6e-06,0.278506,0.232634
CC11CM74SCR1a300664faea4d429c32b6c541c9dfbe,6e-06,0.040212,8e-06,0.157972,0.188723
CC11CM40SCR71797bb342f342c1be4e6de0db399ddf,6e-06,7.000000000000002e-06,8e-06,0.147561,0.200836
