,reference,adcl_1,adcl_2,prichness,edpl_1,edpl_2,bcd,sensitivity,community
0,A,76.36363636363636,0.079026,80.9090909090909,0.2950735,0.0903133,0.0,3.52104,CC11CM0
1,B,47.27272727272727,0.08582100000000001,75.45454545454545,0.24699425000000003,0.061846800000000014,0.0,3.02461,CC11CM0
2,C,21.818181818181817,0.13231600000000002,56.36363636363637,0.36727975,0.09397009999999999,0.0,2.01612,CC11CM0
3,D,3.6363636363636362,0.14741600000000002,50.0,0.42937925,0.0484584,0.032522825360805065,0.866728,CC11CM0
4,E,1.8181818181818181,0.1615295,56.36363636363637,0.12309175000000001,0.0669421,0.0,0.247681,CC11CM0
0,A,67.12328767123287,0.0674265,73.28767123287672,0.12999575,0.0948248,0.01265256565914755,3.53484,CC11CM1
1,B,39.726027397260275,0.108488,73.97260273972603,0.11426125,0.0517533,0.01265256565914755,2.95072,CC11CM1
2,C,19.17808219178082,0.128631,61.64383561643836,0.23154550000000002,0.07033465,0.01265256565914755,2.18432,CC11CM1
3,D,5.47945205479452,0.13159300000000002,65.75342465753425,0.255716,0.0704434,0.02596141395830636,0.83886,CC11CM1
4,E,1.36986301369863,0.2031575,45.205479452054796,0.101917,0.06281315,0.01757277397260274,0.217677,CC11CM1
0,A,82.5,0.157506,72.5,0.361655,0.04327235,0.0021957127011793466,3.36317,CC11CM2
1,B,50.0,0.1025595,62.5,0.13085175,0.07468155000000001,0.0021957127011793466,2.86013,CC11CM2
2,C,20.0,0.111148,57.5,0.27062,0.08779925,0.0021957127011793466,2.02162,CC11CM2
3,D,5.0,0.1102525,72.5,0.137699,0.0497184,0.0021957127011793466,0.869733,CC11CM2
4,E,2.5,0.15676500000000002,38.75,0.101917,0.0643917,0.0021957127011793466,0.243896,CC11CM2
0,A,74.57627118644068,0.058740999999999995,71.1864406779661,0.138389,0.04811145,0.009952013352806176,3.51643,CC11CM3
1,B,40.67796610169491,0.080635,65.2542372881356,0.181908,0.052673975,0.009952013352806176,3.00732,CC11CM3
2,C,22.033898305084747,0.127713,65.2542372881356,0.25866100000000003,0.043566475,0.009952013352806176,2.20913,CC11CM3
3,D,6.779661016949152,0.13003299999999998,67.79661016949153,0.172982,0.06542235,0.009952013352806176,0.8642559999999999,CC11CM3
4,E,1.694915254237288,0.18468299999999999,46.610169491525426,,0.0586339,0.009952013352806176,0.234243,CC11CM3
0,A,71.15384615384616,0.068275,70.1923076923077,,0.044971275,0.006172713753132194,3.4332199999999995,CC11CM4
1,B,46.15384615384615,0.099102,75.0,0.114978,0.053158250000000004,0.006172713753132194,3.05337,CC11CM4
2,C,23.076923076923077,0.1045055,64.42307692307692,0.23005550000000002,0.08382015,0.01157194060419867,2.20913,CC11CM4
3,D,5.769230769230769,0.13120199999999999,66.34615384615384,0.2407865,0.0509468,0.006172713753132194,0.8895129999999999,CC11CM4
4,E,1.9230769230769231,0.182,48.07692307692308,,0.05790024999999999,0.006172713753132194,0.219864,CC11CM4
0,A,78.68852459016394,0.063715,74.59016393442623,0.103866,0.05360222500000002,0.0,3.41338,CC11CM5
1,B,45.90163934426229,0.09864400000000001,67.21311475409836,0.118302,0.04887274999999999,0.0,2.94763,CC11CM5
2,C,19.672131147540984,0.101341,68.85245901639344,0.18762099999999998,0.0627813,0.0,2.12361,CC11CM5
3,D,1.639344262295082,0.1246765,74.59016393442623,0.12082099999999998,0.04682215,0.0,0.891134,CC11CM5
4,E,0.0,0.19269,50.0,0.101917,0.05357345000000001,0.034870094908311604,0.24543,CC11CM5
0,A,70.37037037037037,0.071341,68.51851851851852,0.30304074999999997,0.051316175000000006,0.0,3.25407,CC11CM6
1,B,38.888888888888886,0.097577,63.888888888888886,0.19270849999999998,0.072378,0.0,2.7801400000000003,CC11CM6
2,C,18.51851851851852,0.1166075,54.629629629629626,0.279871,0.05801624999999999,0.0,1.9037,CC11CM6
3,D,1.8518518518518519,0.130732,57.407407407407405,0.14406275,0.059724,0.0,0.8213010000000001,CC11CM6
4,E,1.8518518518518519,0.189726,48.148148148148145,,0.04875315,0.0,0.221126,CC11CM6
0,A,65.67164179104478,0.072474,73.13432835820896,0.250022,0.058349849999999995,0.005052387460139976,3.4867,CC11CM7
1,B,38.80597014925373,0.08582100000000001,69.40298507462687,0.20967449999999999,0.0647662,0.005052387460139976,2.94813,CC11CM7
2,C,17.91044776119403,0.10411300000000001,65.67164179104478,0.156186,0.0627813,0.005052387460139976,2.17435,CC11CM7
3,D,2.985074626865672,0.138729,69.40298507462687,0.14821199999999998,0.05498105,0.005052387460139976,0.8556159999999999,CC11CM7
4,E,1.492537313432836,0.17914049999999998,52.985074626865675,0.101917,0.0565714,0.005052387460139976,0.222601,CC11CM7
0,A,70.76923076923077,0.06385,75.38461538461539,0.222194,0.0948248,0.0,3.4853400000000003,CC11CM8
1,B,41.53846153846154,0.093447,69.23076923076923,0.13085175,0.07650095000000001,0.0,2.94568,CC11CM8
2,C,12.307692307692308,0.091736,56.92307692307692,0.2414515,0.0972053,0.0,2.1808400000000003,CC11CM8
3,D,4.615384615384615,0.1306175,75.38461538461539,0.15433249999999998,0.04832832499999999,0.01232798769308579,0.8895790000000001,CC11CM8
4,E,1.5384615384615385,0.19869,48.46153846153846,0.101917,0.06468859999999999,0.01100705040513522,0.228856,CC11CM8
0,A,71.9298245614035,0.0958885,74.56140350877193,0.250022,0.057872875,0.0,3.61302,CC11CM9
1,B,50.87719298245614,0.0993485,74.56140350877193,0.20967449999999999,0.082594,0.0,3.11389,CC11CM9
2,C,21.05263157894737,0.121545,67.54385964912281,0.33681000000000005,0.08407715,0.0,2.2259900000000004,CC11CM9
3,D,5.2631578947368425,0.1419605,68.42105263157895,0.16045299999999998,0.055397125,0.0,0.903608,CC11CM9
4,E,1.7543859649122806,0.16776049999999998,56.14035087719298,0.101917,0.0557698,0.0,0.236501,CC11CM9
0,A,72.72727272727273,0.062861,68.18181818181819,0.16637749999999998,0.0576566,0.0,3.51104,CC11CM10
1,B,46.96969696969697,0.082728,65.9090909090909,0.2448935,0.06010435000000001,0.0,3.05156,CC11CM10
2,C,18.181818181818183,0.09858349999999999,66.66666666666667,0.19352350000000001,0.05351755,0.0,2.18018,CC11CM10
3,D,6.0606060606060606,0.1409665,68.93939393939394,0.12328824999999999,0.057737699999999996,0.0,0.878181,CC11CM10
4,E,0.0,0.15680349999999998,56.06060606060606,,0.05485225000000001,0.007413618561655742,0.245779,CC11CM10
0,A,67.6923076923077,0.052962999999999996,70.0,0.268681,0.06574944999999999,0.015354379068910453,3.44639,CC11CM11
1,B,41.53846153846154,0.09192900000000001,65.38461538461539,0.24699425000000003,0.061846800000000014,0.015354379068910453,2.93488,CC11CM11
2,C,24.615384615384617,0.11965799999999999,63.07692307692308,0.218291,0.05902435,0.015354379068910453,2.17424,CC11CM11
3,D,3.076923076923077,0.13003299999999998,67.6923076923077,0.140705,0.05546475,0.015354379068910453,0.900507,CC11CM11
