ncbi_tax_id,CC11CM0,CC11CM1,CC11CM10,CC11CM11,CC11CM12,CC11CM13,CC11CM14,CC11CM15,CC11CM16,CC11CM17,CC11CM18,CC11CM19,CC11CM2,CC11CM20,CC11CM21,CC11CM22,CC11CM23,CC11CM24,CC11CM25,CC11CM26,CC11CM27,CC11CM28,CC11CM29,CC11CM3,CC11CM30,CC11CM31,CC11CM32,CC11CM33,CC11CM34,CC11CM35,CC11CM36,CC11CM37,CC11CM38,CC11CM39,CC11CM4,CC11CM40,CC11CM41,CC11CM42,CC11CM43,CC11CM44,CC11CM45,CC11CM46,CC11CM47,CC11CM48,CC11CM49,CC11CM5,CC11CM50,CC11CM51,CC11CM52,CC11CM53,CC11CM54,CC11CM55,CC11CM56,CC11CM57,CC11CM58,CC11CM59,CC11CM6,CC11CM60,CC11CM61,CC11CM62,CC11CM63,CC11CM64,CC11CM65,CC11CM66,CC11CM67,CC11CM68,CC11CM69,CC11CM7,CC11CM70,CC11CM71,CC11CM72,CC11CM73,CC11CM74,CC11CM75,CC11CM76,CC11CM77,CC11CM78,CC11CM79,CC11CM8,CC11CM80,CC11CM81,CC11CM82,CC11CM83,CC11CM84,CC11CM85,CC11CM86,CC11CM87,CC11CM88,CC11CM89,CC11CM9,CC11CM90,CC11CM91,CC11CM92,CC11CM93,CC11CM94,CC11CM95,CC11CM96,CC11CM97,CC11CM98,CC11CM99
1235788,,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119.0,,,,,,,747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,595.0,,,1398.0,,,,,,,,,,,,,319.0,,,,,,,,227.0,,,,
1258,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296540,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349822,,682.0,,,,166.0,,,,221.0,,430.0,,700.0,,,,,,,,,,215.0,,230.0,,,,,,,,,,289.0,,,735.0,,,,,,,226.0,897.0,,,467.0,388.0,85.0,201.0,149.0,,534.0,,,,,,,,,,,,,,,,,1063.0,,,,,,,,,449.0,,,,,425.0,578.0,1531.0,,,1844.0,,292.0,,,,,529.0,766.0
1490,,14.0,,,,,,211.0,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,,175.0,,68.0,,,,,,,,,,,,,,,,307.0,,315.0,,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506577,,76.0,311.0,,23.0,288.0,246.0,,,,,,,364.0,183.0,,,,,122.0,,172.0,,,,,,254.0,,237.0,468.0,286.0,94.0,,,109.0,,95.0,,,,,,,,147.0,90.0,,64.0,,96.0,330.0,359.0,113.0,34.0,,,,240.0,270.0,,,,,,,,,,,,,,,307.0,,256.0,,200.0,,357.0,283.0,,,,,,267.0,,,,,,128.0,,560.0,,,,680.0
1532,,1188.0,,709.0,,324.0,,,,,,,,,2375.0,800.0,,,740.0,1979.0,,216.0,1186.0,,,393.0,262.0,1370.0,,,,,320.0,,606.0,,,424.0,,,,,,,,596.0,,,,,,,,,,725.0,,,,,,,,1111.0,,,,,1114.0,,,,,,,297.0,,1792.0,,,,,,,,,116.0,,,,,,822.0,,,,,,,
1732,,821.0,,,,,,,,,,553.0,,1610.0,,,1202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.0,,,,,,,,,,,,,,,,,,,983.0,,,,,,,,126.0,,,,,,1104.0,,,,,,,,,,,,,,,,
189722,,761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
229549,,737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.0,,,
231233,,1130.0,,,,,,,,1127.0,,,,,,,,,,,,,,,,,,,,,,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3620.0,,,,,,,,,,,,,,,,,,
233412,,715.0,,,,,,,,,,,2369.0,,,,,,,,,,,,,,,,,176.0,,,626.0,,,,,,,,,,,,,,,,,1265.0,,,,,,,,,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239934,,22.0,,,,,238.0,,,,,,,,,492.0,,,1557.0,,,,,,1228.0,,,,,,300.0,,388.0,,,,805.0,,,,,,,,,,,,,,,,,,,,,,927.0,,1542.0,182.0,,,,,,,,,,1253.0,,962.0,334.0,766.0,,,511.0,,,,,,,,,,,40.0,,,1448.0,,,,,,,
248315,,256.0,,,,,,,,41.0,20.0,,,,,,119.0,,,,,,,457.0,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,270.0,44.0,,,124.0,,,,,,,,189.0,,188.0,,,,,,,,,,134.0,,254.0,,,,,,,,,,,,,,,,231.0,,,,,,,
29348,,72.0,,,211.0,,,,,,,,,,,134.0,,,,,,,64.0,,21.0,,,409.0,,,,,,,,,,61.0,,,,,,,,,,,,126.0,45.0,,,114.0,,,,,97.0,,104.0,,,,,,,,,,,,,389.0,,,245.0,,,,621.0,,160.0,,,,,,,,,12.0,240.0,,631.0,,,,,
301302,,238.0,,265.0,54.0,280.0,,,440.0,,,,,118.0,712.0,,,1011.0,237.0,,234.0,,137.0,843.0,,,121.0,,130.0,,1579.0,,,,,261.0,192.0,,,,,,,,,,,,1778.0,116.0,,,756.0,502.0,,102.0,831.0,1150.0,,,,299.0,402.0,110.0,227.0,,160.0,,,,31.0,,,,,324.0,,,,208.0,,,,1452.0,,357.0,850.0,905.0,,,,,,794.0,1685.0,,,,,
328814,,1564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.0,,,,,,,,2189.0,,,,,,,,,,,,,,,846.0,,,785.0,,,,1595.0,,,,,,2491.0,,,7293.0,,,,,,,,,,4521.0,,,,,,,,,,,,,,,,,,
33035,,2464.0,,,,,,488.0,,,,,1015.0,,,,,,,,,,,,479.0,,171.0,,,,,,,,,,39.0,,,,,851.0,,2367.0,,,,,,,,,608.0,,,,,,,,,,,,,1143.0,,,,,,1997.0,,678.0,,,,,,,,,,,,,,,,,,,,,,,,,860.0,
332949,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387090,,516.0,2230.0,,2014.0,,,812.0,,,,1502.0,,,,,,,607.0,,,,,3181.0,,,,,1919.0,,,,,,,,1644.0,,,,,,,,,,735.0,,,,,,,,,,692.0,,,365.0,,,,146.0,403.0,,,,,,,,,,,,,702.0,,,,68.0,,,,,,,,,,,,,,,,,,
392838,,2122.0,,,,,,,,,,,,,,,,,,,,,,,2615.0,,,1459.0,,,,684.0,1429.0,2890.0,,1140.0,,2371.0,,,483.0,,,1174.0,,3687.0,849.0,,1501.0,,,,,,,,,,877.0,,,,,,,740.0,,,,,,,,352.0,,,,,5747.0,,,,,40.0,9.0,,,,,599.0,48.0,69.0,,,,,,,,
40519,,612.0,506.0,,,,,,1126.0,,,,,,,,,,,276.0,2030.0,,,2207.0,1549.0,,,,,,,,,,175.0,,,775.0,,,,1173.0,,,3634.0,,,,,,,,,,,,,,1106.0,,486.0,,,,,,2642.0,,,,1908.0,,,,,512.0,,,850.0,,,,,,1647.0,,,,,,,,,,,,4326.0,,,2537.0
411460,,1118.0,,,,,,,,,,532.0,3049.0,,,655.0,,294.0,1926.0,,,,,,,,,,,,,,1084.0,,,218.0,,,,,,,,,,,,,1131.0,1982.0,,,,,,,,,,,,,108.0,,,,,,,,,,,,507.0,,,,1618.0,,,1043.0,,,,768.0,,2309.0,394.0,,,,,,,1067.0,,32.0,,
411461,,854.0,,,281.0,,,,,,,,,,,,,403.0,2423.0,,,,,,,,,,,,,,,,,499.0,,,,,638.0,,,,,,,,122.0,517.0,,,,350.0,191.0,705.0,,1255.0,2888.0,,,,,794.0,,,519.0,,,,,,,,,,565.0,,38.0,,,,2170.0,1556.0,232.0,,2556.0,,,137.0,,2203.0,,,,1936.0,,,,
411467,,18.0,6.0,3.0,,,7.0,12.0,,,,,,,,13.0,,11.0,31.0,,,,,,,,,,2.0,,,,12.0,,9.0,,,,,,,,,,,3.0,3.0,1.0,,,4.0,,,,,,,,,,,17.0,4.0,,,,,6.0,,,,,,,,17.0,,,,5.0,,,3.0,8.0,,13.0,10.0,,,,12.0,,,,3.0,,,12.0,,
42322,,2342.0,,,,,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.0,,,,,,,,,,,3963.0,,,,,,,,,,,,,,,,,,,,,,,,,,3463.0,,,,,,,,,,,,398.0,,,,2182.0,804.0,,,,,,,,,,
43305,,76.0,,,,20.0,,,,,,,,,154.0,47.0,,,,,,,,,103.0,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,26.0,,,36.0,,,,,,,,,172.0,85.0,61.0,17.0,,,222.0,,,,,,,,,,24.0,33.0,,
454155,,244.0,,,,,,,83.0,,,,351.0,,,,,,,185.0,,322.0,,,,,,,,393.0,,,,,,,51.0,,,,,,,,,81.0,,,,,,,215.0,,,,,,114.0,,201.0,,,,236.0,,,,,,,,,,,,,,,296.0,451.0,,,,529.0,,,,,,,,,,,,,,,
46125,,135.0,187.0,,,,245.0,,,136.0,,94.0,645.0,,,14.0,,445.0,,577.0,140.0,35.0,96.0,,138.0,,,207.0,120.0,98.0,,139.0,,134.0,192.0,336.0,,,79.0,10.0,684.0,,209.0,48.0,,,,408.0,372.0,,,457.0,403.0,177.0,169.0,,768.0,,65.0,90.0,84.0,,,,,48.0,,345.0,429.0,,417.0,,568.0,345.0,,,88.0,428.0,334.0,,254.0,109.0,,586.0,,,273.0,,61.0,,,,755.0,569.0,261.0,,381.0,,,287.0
464322,,65.0,,,140.0,,,,,,,150.0,,,,,,,,,,,117.0,184.0,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,23.0,,,,,,,,,,,61.0,22.0,,,147.0,286.0,,,,,,,,,,,,156.0,455.0,,,,,,,,,,,,115.0,,
470145,,1191.0,,,4638.0,,4941.0,,,,,,,,,634.0,,1852.0,,,,620.0,,,,1203.0,,,,,,,,,,,,,,,,,5126.0,,,,,,962.0,,,,,,,368.0,,,,,,,,,,876.0,1444.0,,263.0,,,,,,,,,,1041.0,,136.0,,,,,,,,,,,,,,,,,,101.0,
487175,,837.0,,,1247.0,,,,,,,,106.0,,,819.0,,,,,,1702.0,,,,,,,,,,1618.0,,,280.0,666.0,,,,,,,,,975.0,,,3049.0,,594.0,,,,1702.0,,,,,,,,,,,,,2153.0,,,,,,,,,,,,,,,,1339.0,,,,,,,,,,2487.0,,,1956.0,,,,
525919,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536633,,790.0,,3682.0,,,38.0,979.0,769.0,,1301.0,134.0,,,,,,,,428.0,192.0,87.0,2658.0,598.0,1198.0,603.0,,296.0,,,492.0,,431.0,,1214.0,1240.0,,205.0,,1184.0,,412.0,,569.0,,,1451.0,221.0,,,,,1256.0,1247.0,913.0,1624.0,1799.0,,839.0,,1115.0,,4696.0,1670.0,,,,,556.0,,,,,442.0,,1374.0,351.0,,3262.0,,,,,,,,,,,,778.0,1166.0,611.0,1046.0,2107.0,461.0,615.0,,,1755.0
537007,,474.0,,,,,,391.0,,,,,3489.0,,,,,,,,,,,154.0,598.0,292.0,,398.0,,,,,,,,,,,,473.0,2631.0,,,1141.0,,,,,,,,,818.0,2586.0,,,,,,,670.0,1339.0,1130.0,,,687.0,,,,,,891.0,,,,,,521.0,,,,,,,25.0,,,,,,3235.0,,,,,,298.0,576.0,,
544644,,68.0,,,,,,52.0,,,,63.0,,97.0,,,164.0,,,,40.0,,,,112.0,,,36.0,,,,,66.0,,,,,,,,,,,,,,,,,,,59.0,,,,,174.0,,,,,,,,125.0,,,42.0,,,,,,113.0,,,14.0,,,89.0,,160.0,,42.0,,,,,,,,,,,,,,,,168.0
592028,,1088.0,,,,,,,,,,,,,,,,,,,,,,,1043.0,,,,,,,,,,,,,,,,,,,,3167.0,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,2790.0,,,,,,,,,,,,,1300.0,,,
604330,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,,,,254.0,,,232.0,,,,,,,,,,,,,,,,,,102.0,,,,,,16.0,,,,,,,,,91.0,103.0,,,,,,,,,150.0,,,,,,,,,,,,,,,
626522,,41.0,52.0,373.0,,,617.0,,1668.0,,,418.0,2637.0,,,701.0,,,919.0,,,,,,,,,,,2712.0,,,731.0,,,,,,,,256.0,,,,747.0,,,,,,,,1357.0,,,,,,,,,,,,,,,,,,,,,,,938.0,,,,,,1357.0,,,,,,,1431.0,,,436.0,,,,,,,,656.0
626939,,874.0,,,9.0,119.0,,,,,,,,407.0,,,,,,,,,,283.0,,,,548.0,,741.0,,,109.0,316.0,411.0,,,,,,,,,,,111.0,,,,379.0,,364.0,,,,,,,339.0,,,,,,,958.0,,,,329.0,,,,,,,300.0,,234.0,,,780.0,,,,,,,,,,,,1445.0,,,565.0,1299.0,739.0,
667015,,3512.0,,,950.0,,,1103.0,,,,,,874.0,,,,,,1448.0,,,,,,,,,,,,,3028.0,,,,,1289.0,,1268.0,,,,,,,,,,901.0,783.0,,,1699.0,,2424.0,,182.0,,,,,137.0,,,,,,,,,533.0,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,
674529,,977.0,668.0,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,,781.0,,,,,,,,,,,,,,,,3819.0,,,,701.0,,,1089.0,,,,,,,,,,,,,1005.0,,,518.0,,,353.0,,,,817.0,,,,,,,,,,,90.0,,,,,,,,,,,,
679937,,1525.0,,,,,,,,,,,,1405.0,,,,481.0,,,,1064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686660,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,
709991,,665.0,,,,,,,,,,67.0,,,,,,,,,259.0,,,,773.0,,,,,,276.0,,,39.0,,,422.0,,,,,,,,,,,,,,,,,,,,786.0,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,,,,,,,,,,,526.0,,,,,,
742726,,808.0,,63.0,,1729.0,,,,,,1344.0,,,,,,,,,2148.0,544.0,,,,,,,,,,,,,842.0,,,,,,,,,,,385.0,,,,,,,1092.0,,,,4036.0,,,,,195.0,3370.0,,,,,,,721.0,,,,,,,,491.0,1372.0,,,,906.0,,,,,,,,,1284.0,,,7297.0,,,,2907.0,
77917,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.0,,,,,,,,,,1640.0,,,,,2641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796942,,110.0,105.0,3.0,,,15.0,118.0,255.0,98.0,179.0,92.0,635.0,,105.0,,133.0,,,324.0,84.0,,,65.0,382.0,,8.0,,82.0,,,,85.0,,,261.0,178.0,,,77.0,,84.0,,85.0,103.0,60.0,,45.0,109.0,489.0,,125.0,340.0,222.0,,,193.0,,24.0,40.0,29.0,,22.0,,,277.0,,186.0,,70.0,114.0,,,121.0,,,,124.0,175.0,50.0,,,77.0,,173.0,200.0,,53.0,99.0,16.0,,,286.0,306.0,,,,7.0,,19.0
841,,151.0,,,,,,,,614.0,,,,,,401.0,,,924.0,1134.0,,222.0,532.0,,,,,,,,406.0,,187.0,1234.0,,648.0,,,,,,,,,,185.0,,379.0,457.0,,,650.0,,1245.0,,,335.0,,,293.0,,105.0,,,79.0,321.0,,,,,,,,,335.0,113.0,,413.0,,,,398.0,766.0,,215.0,1390.0,,,,,,,,1968.0,680.0,,,661.0,,
867595,,92.0,,,,,,,,,,366.0,,,,,,,,,,,794.0,,,,,,,,,,,,,,,,,,,,,,,,,1150.0,,,,,,,,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,,1898.0,,,
89014,,593.0,,1181.0,,,108.0,651.0,616.0,,281.0,85.0,,,1060.0,3326.0,,,1483.0,,122.0,,773.0,,,1351.0,,,,,320.0,,,,,495.0,,,,,765.0,,,759.0,,992.0,,,,,,,,,,,523.0,,,,1676.0,1785.0,,,,1719.0,594.0,,741.0,,,581.0,,,,613.0,,800.0,,,110.0,,,53.0,,,,,,,623.0,,,1740.0,,,,,1724.0,
997884,,569.0,,,,,,643.0,,900.0,,,,,,,,,1657.0,490.0,,,,,,,,,,,,,,,,,,,,,,,,3462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.0,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,
999418,,1618.0,,,,,,,,,,,,,,,,,,1083.0,,,,,,,,,1513.0,,,,,2828.0,,,,,,,2363.0,,,,,,,,1594.0,,,,,,,,,,,,,,,,,,,2460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033731,,,3310.0,5909.0,,,4794.0,597.0,,,,,,,,,,,,,,,1398.0,,,,,,4682.0,1682.0,,,,,,,,,,1922.0,,,3665.0,,,,1013.0,,,435.0,,,2689.0,,,,,,,,3360.0,,,,,,,488.0,,,,,,,,,,,,,,,,,,,,1566.0,,,,,,,,,106.0,,,135.0
103891,,,68.0,,36.0,318.0,,,,,,,,,,,,,,,,,,,,201.0,,,108.0,,,,,,,34.0,,,,,131.0,90.0,,,,,143.0,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,41.0,,,,,,606.0,,,,,,,,,,,,,,,135.0
1073351,,,1603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073375,,,354.0,653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.0,,,,,,,,,,,,,,,,,,,,,,,292.0,,,,,,,295.0,,,925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099853,,,118.0,542.0,431.0,,432.0,650.0,266.0,,,,448.0,,901.0,,829.0,,,1254.0,957.0,,244.0,,,,968.0,1006.0,1094.0,1622.0,,154.0,63.0,,459.0,,,823.0,,,,,,43.0,,,,471.0,,,,,,,,,,,918.0,,,724.0,,,,,,,628.0,,,424.0,,,190.0,1190.0,,213.0,69.0,22.0,188.0,,1599.0,351.0,,349.0,,,,,1096.0,,,,,,,,,
1301,,,1025.0,,1207.0,,4454.0,,748.0,,,,,,245.0,,149.0,,,,,,,1661.0,488.0,725.0,,,,,,,,,,,2045.0,,,,,,,,,,299.0,,,,,,,,,1080.0,,,,,,347.0,,270.0,,386.0,751.0,,,,,,,,287.0,,95.0,,567.0,1226.0,2146.0,,3502.0,,,1352.0,,2053.0,6909.0,,,,,,,1191.0,,,2571.0,444.0
1382,,,168.0,,,,173.0,,51.0,,,,,63.0,,74.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,181.0,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,,,,,
1401067,,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,,,,
142596,,,1572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941.0,,,,,,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3876.0,,,,,,,,,,,,,
1461337,,,806.0,113.0,877.0,2864.0,,1460.0,1870.0,82.0,391.0,,296.0,83.0,37.0,1273.0,402.0,864.0,,687.0,,1293.0,,144.0,2406.0,,25.0,,,23.0,,,,,916.0,,,1179.0,507.0,,,900.0,1684.0,,,,,3628.0,,2382.0,,,1445.0,1082.0,33.0,243.0,1529.0,,2459.0,2564.0,1793.0,,1121.0,3954.0,,,494.0,884.0,,,,,,2284.0,6025.0,2034.0,,1718.0,,1593.0,,,,1166.0,2400.0,,,755.0,,1208.0,2672.0,6379.0,1003.0,3463.0,,1198.0,,,523.0,822.0
1499,,,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126.0,,,,,,,,,,,,,,,,
1505663,,,17.0,,,,136.0,158.0,,,,,,,48.0,,,,,,,151.0,,,,,,,,,,,,,55.0,,,,,,,307.0,,,,57.0,,,,,,,,,,137.0,,,,18.0,,,,,,,,,,279.0,,,14.0,,491.0,,,,,36.0,,,,98.0,,,54.0,,,,421.0,,,,,,293.0,,,
151276,,,871.0,,,,,,,,,,,,,,,,,,,,,1243.0,3638.0,,,,,,,,1263.0,,,722.0,994.0,,,,,,,,,,,,,,,,1201.0,,790.0,,,,,,,,,,,,2572.0,,,,,,,546.0,,,,1879.0,,,595.0,,,,,,,,,,,,,,,,,,,
166486,,,21.0,169.0,,,459.0,,,,,,,,,995.0,,,373.0,,,,,,,,472.0,,506.0,,,,463.0,,,166.0,748.0,,,,,,417.0,,,,,1476.0,,,,,305.0,,,,,,,,,,,,,,,744.0,,,,,,,,,76.0,144.0,,809.0,,,309.0,,,,,365.0,,,,,,,,,,,,
1692,,,189.0,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,,,694.0,,,,,,,,,1578.0,,,,,,,,,,,,,,,,,,,1517.0,,,,,,,,,,,,,,,469.0,,,,,,770.0,,,,,,2772.0,,,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,1095.0,,,,,,,,,,,,,
176090,,,3523.0,,,,,497.0,,,,,,,1133.0,,,,,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228604,,,5312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,
246787,,,756.0,,,,,,,,,,,,,1343.0,,,,,,,,,,521.0,,,,,,,,,,,,,,,,,,,,2070.0,,,,,,,,,,,,,,322.0,,,214.0,,,,,760.0,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,96.0,,,
28114,,,310.0,,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,,,,,,425.0,694.0,,,,,,,,,,,,
282078,,,762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.0,,,,,,553.0,,,,,,,,,,,,,,,,,,,,,,,,,,
283169,,,691.0,,,,,,,,,,936.0,,629.0,,,,250.0,,,,,652.0,,98.0,,,,150.0,,,,,,642.0,,,440.0,,,46.0,,197.0,,147.0,,,,,478.0,,,,,,,,,,369.0,226.0,,,732.0,,434.0,,,,,,,,,185.0,,,,,583.0,,,6.0,440.0,554.0,,617.0,290.0,,,,,,,,,725.0,,
29465,,,43.0,18.0,56.0,82.0,,,100.0,,,,,86.0,,,,,,,61.0,15.0,,,,81.0,,,268.0,30.0,,,,,,98.0,,,,,,,,,197.0,,,,,,,,,,,,,,,347.0,,,66.0,,,337.0,266.0,,,45.0,,,,,,,,237.0,,,,,,,,,,,,,,,,,,,,,,
33031,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332950,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349094,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,5.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,9.0,,12.0,,28.0,,,,,,
35703,,,37.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,14.0,,13.0,,,,,,,,,,,18.0,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,17.0,,,,,34.0,,,,,,,,,41.0,,,,,,,,,,,,
375288,,,946.0,,,,860.0,,,,,,,,,,,,,,,,,,,,,,,1216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.0,,,
376806,,,1252.0,,,,,,,,,,,,,,,,2336.0,,,2309.0,,,,,1801.0,,,,2092.0,,,,,,,,,,,1367.0,,,,,,742.0,,,,,,,,,,,,,,,,,,,,,,,,674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39824,,,32.0,,,,,,252.0,192.0,,,,,,,,,,,,,,,,,81.0,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,75.0,41.0,,,,,,,,,,,,,,,,,,125.0,,,,,165.0,,,307.0,,,,,,,,,,,,,,,,,60.0,264.0
445970,,,1161.0,,,,,,,,,,,,,,,,,526.0,,,,,,246.0,,,,,,,,,,,,,,,,,,1949.0,,,,,347.0,,,1196.0,,,,,,,,,,,4548.0,,,,,,,,,,,,,,,,,,,,,,1548.0,,,,,,,,11.0,,,,,,,
459786,,,478.0,,,,,,,,,,329.0,,280.0,,116.0,,,,,,,997.0,450.0,,,,,,363.0,,,,211.0,,,,,569.0,,,,,,,,,688.0,,,215.0,,,,759.0,,,,,584.0,,,,,,,,,,,305.0,,,,457.0,,,,751.0,,,,,,,,,,,,,,,,,3090.0,,,
515620,,,243.0,,,,,,,,,,,,,,3428.0,,,,,2675.0,,,,,,134.0,,,,,,3932.0,,,,,,,,,,,,,,74.0,,,,270.0,,,,,,,1415.0,,,,,,1677.0,,,,,,,,,,,,,,,,,,,,,,,,765.0,,,,,,,,,,,
52704,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
