ncbi_tax_id,CC11CM0,CC11CM1,CC11CM10,CC11CM11,CC11CM12,CC11CM13,CC11CM14,CC11CM15,CC11CM16,CC11CM17,CC11CM18,CC11CM19,CC11CM2,CC11CM20,CC11CM21,CC11CM22,CC11CM23,CC11CM24,CC11CM25,CC11CM26,CC11CM27,CC11CM28,CC11CM29,CC11CM3,CC11CM30,CC11CM31,CC11CM32,CC11CM33,CC11CM34,CC11CM35,CC11CM36,CC11CM37,CC11CM38,CC11CM39,CC11CM4,CC11CM40,CC11CM41,CC11CM42,CC11CM43,CC11CM44,CC11CM45,CC11CM46,CC11CM47,CC11CM48,CC11CM49,CC11CM5,CC11CM50,CC11CM51,CC11CM52,CC11CM53,CC11CM54,CC11CM55,CC11CM56,CC11CM57,CC11CM58,CC11CM59,CC11CM6,CC11CM60,CC11CM61,CC11CM62,CC11CM63,CC11CM64,CC11CM65,CC11CM66,CC11CM67,CC11CM68,CC11CM69,CC11CM7,CC11CM70,CC11CM71,CC11CM72,CC11CM73,CC11CM74,CC11CM75,CC11CM76,CC11CM77,CC11CM78,CC11CM79,CC11CM8,CC11CM80,CC11CM81,CC11CM82,CC11CM83,CC11CM84,CC11CM85,CC11CM86,CC11CM87,CC11CM88,CC11CM89,CC11CM9,CC11CM90,CC11CM91,CC11CM92,CC11CM93,CC11CM94,CC11CM95,CC11CM96,CC11CM97,CC11CM98,CC11CM99
172900,5.0,,,2.0,,,,,,,,,,2.0,,,,,,2.0,5.0,2.0,,,1.0,,,1.0,3.0,1.0,,2.0,,,,,2.0,,,,2.0,7.0,2.0,,,,,1.0,,4.0,3.0,,,1.0,1.0,,,,,,,,,,,,,2.0,1.0,,1.0,,,,2.0,,2.0,,1.0,1.0,,,,1.0,,2.0,,,,3.0,,,,,2.0,8.0,,,,
1736,1066.0,,,,,,,,,624.0,,,10914.0,564.0,,,,,1251.0,,501.0,,,,,,,,,,,,,1378.0,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3211.0,,1827.0,,,,,,,,,,,,,,,,,,,1063.0,,,,,
218538,954.0,,,,,,,,,,,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234908,2375.0,1218.0,,,,,,4878.0,,,,2770.0,,,,,,,794.0,,,,182.0,,,,,5764.0,,,5741.0,,,,,,1837.0,971.0,,,,,,,,,,,,,,,,,,584.0,,,,,,,2905.0,,1212.0,,,,,,,3888.0,,3436.0,,,3365.0,,,,,,,3410.0,,,,,,,,,,,,,,,,
266833,755.0,,1027.0,,,,2145.0,,1774.0,4972.0,1465.0,,,,,1869.0,,,,,1341.0,1296.0,607.0,,,,,882.0,,,,2816.0,1024.0,,1128.0,,,,,,,796.0,,,5089.0,,580.0,,,,,,,,,780.0,,,,,,2513.0,,,,566.0,,,,,1326.0,,,,1803.0,,,,,,,,,,,,,,69.0,814.0,,,,,,330.0,,109.0,,
270498,10.0,,5.0,9.0,3.0,11.0,,11.0,23.0,,,10.0,,,,11.0,9.0,,,,,,1.0,,,,,5.0,9.0,9.0,12.0,1.0,,,,5.0,11.0,,,2.0,,15.0,,6.0,,,3.0,8.0,,19.0,,,19.0,19.0,9.0,,1.0,14.0,,,31.0,15.0,,16.0,,2.0,,5.0,,,,,23.0,,19.0,9.0,1.0,12.0,,,5.0,5.0,6.0,18.0,11.0,,10.0,,,16.0,3.0,,,2.0,,,24.0,19.0,,
28133,5043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8039.0,,,,,,,,,,
291645,954.0,,,,,,,,,,,,,1656.0,,,540.0,,,,4819.0,,,,,,,,,,,,,,,,1144.0,,,1545.0,,,,,,,,,709.0,,,,,574.0,,,,,1270.0,,,827.0,,,,,,,,,,,669.0,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,
292800,102.0,18.0,106.0,,,,22.0,,,4.0,53.0,61.0,11.0,17.0,84.0,58.0,,,,28.0,156.0,2.0,134.0,,113.0,16.0,16.0,12.0,,57.0,63.0,,,161.0,,140.0,50.0,,2.0,65.0,,123.0,46.0,,73.0,146.0,66.0,116.0,102.0,70.0,78.0,126.0,2.0,132.0,91.0,,,45.0,,142.0,11.0,,121.0,62.0,220.0,82.0,32.0,,113.0,66.0,,,62.0,23.0,,53.0,131.0,15.0,40.0,1.0,82.0,217.0,16.0,,24.0,,,,22.0,,6.0,311.0,39.0,155.0,,207.0,307.0,384.0,15.0,
310300,1099.0,720.0,,,,825.0,,,837.0,1019.0,,,,,,,,,,,,,,,,,,,831.0,,,,,,,,,,,,,1159.0,,,,,,,626.0,,,,,,,,,,,787.0,,,,,,,,,,,,,,,,661.0,3106.0,,,48.0,,,88.0,,,,,172.0,,,,,,,,,,74.0,,
